DIA,Encuentro,Location,Ciudad EEUU,Estado,TOTAL,Mexico,Extranjeros,Guatemala,Honduras,El Salvador,República Bolivariana de Venezuela,Cuba,Colombia,Nicaragua,China,Ecuador,Haití,India,Brasil,Estado Plurinacional de Bolivia,Bélgica,Perú,Canadá,España,Rumania,Afganistán,Turquía,Federación De Rusia,República Dominicana,Bangladesh,Uzbekistán,Pakistán,Vietnam,Camerún,Trinidad y Tobago,Belice,República Federal Democrática de Nepal,Etiopia,Argentina,Azerbaiyán,República Popular Democrática de Corea,República de Corea,Armenia,Hungría,Reino Unido de Gran Bretaña e Irlanda del Norte,Marruecos,Chile,República Islámica del Irán,República Árabe de Siria,Kosovo,Congo,Nueva Zelandia,Angola,Filipinas,Kazajstan,Ghana,Polonia,Togo,Georgia,Italia,Alemania,Kirguistán,Croacia,Sudán,Sudáfrica,Nigeria,Taiwan (Provincia de China),Panamá,Maldivas,Líbano,Egipto,Uruguay,Iraq,Jordania,Francia,Islas Norfolk,Benin,Somalia,Japón,Ucrania,Jamaica,Fiji,Eslovaquia,Suecia,Belarús,Zimbabwe,República de Moldova,Irlanda,Indonesia,Portugal,Yemen,Suiza,Uganda,Kenia,Otros
02/10/2024,CBP ONE,San Diego,California,Baja California,375,48,327,4,24,4,137,66,14,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
02/10/2024,CBP ONE,Tucson,Arizona,Sonora,97,12,85,3,4,7,37,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
03/10/2024,USBP,Big Bend,Texas,Chihuahua,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03/10/2024,USBP,Del Rio,Texas,Coahuila,245,33,212,12,72,15,10,0,19,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
03/10/2024,USBP,El Centro,California,Baja California,46,10,36,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
03/10/2024,USBP,El Paso,Texas,Chihuahua,409,256,153,52,26,14,19,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
03/10/2024,USBP,Laredo,Texas,Tamaulipas,79,47,32,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
03/10/2024,USBP,Rio Grande,Texas,Tamaulipas,102,39,63,21,17,13,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03/10/2024,USBP,San Diego,California,Baja California,376,70,306,24,3,3,2,0,83,0,59,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
03/10/2024,USBP,Tucson,Arizona,Sonora,450,277,173,105,1,10,0,0,3,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
