Año,DIA,Estado de Partida,Lugar de Partida,Nombre de la Caravana,Estado de Disolución,Lugar de Disolución,Personas que Aproximadamente Incian la movilización,Personas Rescatadas,Personas Documentadas,Personas Trasladadas a Oficinas distintas al origen,Tipo de Documento o Procedimiento,TVRH,PAM,FMM,CITA COMAR,Documentos Provisionales y Oficios de Salida,Honduras, El Salvador, Guatemala, Nicaragua, Haití, República Bolivariana de Venezuela,Cuba, República Dominicana, República Federal Democrática de Nepal, Ecuador, Colombia, Estado Plurinacional de Bolivia , Senegal, Perú , Chile , Brasil, Pakistán, Ghana , Costa Rica , Nigeria , Camerún ,Etiopia,Bangladesh, India 
2021,25/11/2021,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,"Mapastepec, Chiapas",450,,"2,803","Campeche, Colima, Durango, Estado de México, Guanajuato, Guerrero, Hidalgo, Jalisco, Michoacán, Puebla, Querétaro, Zacatecas.",TVRH,SI,,,,,,,,,,SI,SI,,,,,,,,,,,,,,,,,
2021,17/12/2021,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,Villa Mazatan,,114,,Estacion migratoria siglo XXI,PAM,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,21/01/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,Ejido Álvaro Obregón,500,319,,Estación Migratoria Siglo XXI,PAM,,SI,,,,SI,SI,SI,SI,SI,SI,,,,,,,,,,,,,,,,,,
2022,01/04/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,Ejido Álvaro Obregón,300,702,623,"30(Tabasco)
549(Otras Oficinas)
44 (CAIFT Huixtla)",TVRH,SI,,,,,SI,SI,SI,SI,,SI,SI,,,,,,,,,,,,,,,,,
2022,16/04/2022,Chiapas,Viva México,,Chiapas,CAITF Huixtla,766,,669,"CAITF Huixtla
Regulacion Tapachula
Cd. Hidalgo
Casa Roja",TVRH,SI,,,,,SI,SI,SI,SI,,SI,SI,,,SI,SI,SI,,,,,SI,,,,,,,
2022,23/04/2022,Chiapas,Estación Migratoria Siglo XXI,,Chiapas,"Tapachula, Chiapas",350,349,,Estación Migratoria Siglo XXI y Albergues,PAM,,SI,,,,SI,,,SI,,SI,,,,,,,,,,,,SI,,,,,,
2022,27/04/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,Ejido Álvaro Obregón,250,257,257,"135 (Tuxtla)
132 (San Cristobal)",TVRH,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,28/04/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,Ejido Álvaro Obregón,150,179,,Tabasco (179),PAM,,SI,,,,SI,SI,SI,,SI,SI,SI,SI,,SI,SI,,,,,,,,SI,SI,SI,,,
2022,29/04/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,"Parque Bicentenario, Tapachula",166,166,,"Comitán
Tuxtla Gutiérrez",PAM,,SI,,,,SI,SI,SI,SI,,SI,SI,,,,,,,,,,,,,,,SI,,
2022,20/04/2022,Chiapas,"Huehuetán, Chiapas",,Chiapas,CAITF Huixtla,226,226,,Tuxtla Gutiérrez,PAM,,SI,,,,SI,SI,SI,SI,,SI,SI,,,SI,SI,,,,,,,,,,,,,
2022,10/05/2022,Chiapas,"Tapachula, Chiapas",,Chiapas,Ejido Álvaro Obregón,250,272,,CAITF Huixtla,PAM,,SI,,,,SI,,SI,SI,SI,SI,,SI,,,,,,,,,,,,,,,SI,
2022,06/06/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,CAITF Huixtla,"3,000",,"11,173",CAITF Huixtla,FMM,,,SI,,,SI,SI,SI,SI,,SI,SI,,,SI,SI,,SI,,,,,,,,,,,
2022,24/06/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,CAITF Huixtla,"3,000",,"4,130",CAITF Huixtla,FMM,,,SI,,,SI,SI,,SI,,SI,SI,,,,,,,,,,,,,,,,,
2022,01/07/2022,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,CAITF Huixtla,"3,000",,"2,775",CAITF Huixtla,FMM,,,SI,,,,,,SI,,SI,SI,,,,,,,,,,,,,,,,,
2022,13/07/2022,Chiapas,"Tapachula, Chiapas",,Chiapas,CAITF Huixtla,,91,N/A,Viilahermosa Estación Migratoria Siglo XXI,PAM,,SI,,,,SI,,,SI,,SI,,,,,,,,,,,,,,,,,,
