DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
20/11/2024,CHIHUAHUA,70,53,17,9,8,70,0,,,,,,
20/11/2024,COAHUILA,63,57,6,5,1,63,0,,,,,,
20/11/2024,SONORA,179,154,25,10,15,179,0,,,,,,
20/11/2024,TAMAULIPAS,297,270,27,21,6,297,0,,,,,,
21/11/2024,BAJA CALIFORNIA,81,67,14,7,7,81,0,,,,,,
21/11/2024,CHIHUAHUA,58,37,21,8,13,58,0,,,,,,
21/11/2024,COAHUILA,30,24,6,6,0,30,0,,,,,,
21/11/2024,SONORA,181,149,32,9,23,181,0,,,,,,
21/11/2024,TAMAULIPAS,172,158,14,11,3,172,0,,,,,,
22/11/2024,BAJA CALIFORNIA,77,62,15,5,10,77,0,,,,,,
22/11/2024,CHIHUAHUA,67,48,19,17,2,67,0,,,,,,
22/11/2024,COAHUILA,41,31,10,7,3,41,0,,,,,,
22/11/2024,SONORA,168,143,25,8,17,168,0,,,,,,
22/11/2024,TAMAULIPAS,317,293,24,18,6,317,0,,,,,,
23/11/2024,BAJA CALIFORNIA,156,141,15,5,10,156,0,,,,,,
23/11/2024,CHIHUAHUA,17,4,13,11,2,17,0,,,,,,
23/11/2024,COAHUILA,7,1,6,6,0,7,0,,,,,,
23/11/2024,SONORA,154,145,9,4,5,154,0,,,,,,
23/11/2024,TAMAULIPAS,92,83,9,5,4,92,0,,,,,,
24/11/2024,BAJA CALIFORNIA,122,117,5,1,4,122,0,,,,,,
24/11/2024,CHIHUAHUA,23,8,15,8,7,23,0,,,,,,
24/11/2024,COAHUILA,14,7,7,6,1,14,0,,,,,,
24/11/2024,SONORA,132,103,29,4,25,132,0,,,,,,
24/11/2024,TAMAULIPAS,86,74,12,10,2,86,0,,,,,,
25/11/2024,BAJA CALIFORNIA,100,88,12,7,5,100,0,,,,,,
25/11/2024,CHIHUAHUA,30,15,15,14,1,30,0,,,,,,
25/11/2024,COAHUILA,41,40,1,1,0,41,0,,,,,,
25/11/2024,SONORA,71,50,21,5,16,71,0,,,,,,
25/11/2024,TAMAULIPAS,183,179,4,3,1,183,0,,,,,,
26/11/2024,BAJA CALIFORNIA,168,146,22,9,13,168,0,,,,,,
26/11/2024,CHIHUAHUA,79,61,18,12,6,79,0,,,,,,
26/11/2024,COAHUILA,27,25,2,2,0,27,0,,,,,,
26/11/2024,ESTADO DE MEXICO,499,477,22,0,22,0,499,,,,,,
26/11/2024,SONORA,204,165,39,10,29,204,0,,,,,,
26/11/2024,TAMAULIPAS,153,142,11,7,4,153,0,,,,,,
27/11/2024,BAJA CALIFORNIA,147,121,26,4,22,147,0,,,,,,
27/11/2024,CHIHUAHUA,64,52,12,7,5,64,0,,,,,,
27/11/2024,COAHUILA,30,28,2,2,0,30,0,,,,,,
27/11/2024,ESTADO DE MEXICO,18,18,0,0,0,0,18,,,,,,
27/11/2024,SONORA,202,180,22,1,21,202,0,,,,,,
27/11/2024,TAMAULIPAS,145,133,12,11,1,145,0,,,,,,
28/11/2024,BAJA CALIFORNIA,105,84,21,3,18,105,0,,,,,,
28/11/2024,CHIHUAHUA,95,73,22,16,6,95,0,,,,,,
28/11/2024,COAHUILA,37,30,7,6,1,37,0,,,,,,
28/11/2024,SONORA,223,186,37,4,33,223,0,,,,,,
28/11/2024,TAMAULIPAS,44,38,6,5,1,44,0,,,,,,
29/11/2024,BAJA CALIFORNIA,113,82,31,8,23,113,0,,,,,,
29/11/2024,CHIHUAHUA,72,49,23,19,4,72,0,,,,,,
29/11/2024,COAHUILA,69,68,1,1,0,69,0,,,,,,
29/11/2024,SONORA,58,40,18,10,8,58,0,,,,,,
29/11/2024,TAMAULIPAS,144,125,19,16,3,144,0,,,,,,
30/11/2024,BAJA CALIFORNIA,140,132,8,3,5,140,0,,,,,,
30/11/2024,CHIHUAHUA,31,12,19,14,5,31,0,,,,,,
30/11/2024,COAHUILA,1,1,0,0,0,1,0,,,,,,
30/11/2024,SONORA,107,76,31,6,25,107,0,,,,,,
30/11/2024,TAMAULIPAS,109,96,13,11,2,109,0,,,,,,
01/12/2024,BAJA CALIFORNIA,77,72,5,1,4,77,0,,,,,,
01/12/2024,CHIHUAHUA,32,19,13,7,6,32,0,,,,,,
01/12/2024,SONORA,88,56,32,6,26,88,0,,,,,,
01/12/2024,TAMAULIPAS,51,46,5,5,0,51,0,,,,,,
02/12/2024,BAJA CALIFORNIA,77,67,10,5,5,77,0,,,,,,
02/12/2024,CHIHUAHUA,57,33,24,12,12,57,0,,,,,,
02/12/2024,COAHUILA,23,18,5,2,3,23,0,,,,,,
02/12/2024,SONORA,85,58,27,7,20,85,0,,,,,,
