DIA,ESTADO / O.R.,NACIONALIDAD,INADMITIDOS
11/10/2024,Ciudad de México,República Bolivariana de Venezuela,2
11/10/2024,Ciudad de México,República Islámica del Irán,1
11/10/2024,Ciudad de México,Rumania,1
11/10/2024,Ciudad de México,Vietnam,1
11/10/2024,Estado de México,Colombia,6
11/10/2024,Estado de México,India,1
11/10/2024,Jalisco,Canadá,1
11/10/2024,Jalisco,China,1
11/10/2024,Jalisco,República Bolivariana de Venezuela,1
11/10/2024,Jalisco,República de Corea,1
11/10/2024,Jalisco,Vietnam,1
11/10/2024,Nuevo Leon,Argentina,1
11/10/2024,Nuevo Leon,Colombia,15
11/10/2024,Nuevo Leon,Portugal,1
11/10/2024,Nuevo Leon,Trinidad y Tobago,1
11/10/2024,Quintana Roo,Afganistán,2
11/10/2024,Quintana Roo,Argentina,2
11/10/2024,Quintana Roo,Brasil,2
11/10/2024,Quintana Roo,Colombia,62
11/10/2024,Quintana Roo,España,1
11/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,5
11/10/2024,Quintana Roo,Estados Unidos de América,2
11/10/2024,Quintana Roo,Federación De Rusia,1
11/10/2024,Quintana Roo,Honduras,2
11/10/2024,Quintana Roo,India,1
11/10/2024,Quintana Roo,Jamaica,13
11/10/2024,Quintana Roo,Reino Unido de Gran Bretaña e Irlanda del Norte,1
11/10/2024,Quintana Roo,República Bolivariana de Venezuela,1
11/10/2024,Quintana Roo,Rumania,5
11/10/2024,Quintana Roo,Taiwan (Provincia de China),1
11/10/2024,Quintana Roo,Turquía,2
12/10/2024,Baja California,Estados Unidos de América,1
12/10/2024,Ciudad de México,Argentina,4
12/10/2024,Ciudad de México,Bangladesh,1
12/10/2024,Ciudad de México,Camerún,1
12/10/2024,Ciudad de México,Chile,1
12/10/2024,Ciudad de México,China,34
12/10/2024,Ciudad de México,Colombia,130
12/10/2024,Ciudad de México,Cuba,1
12/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,5
12/10/2024,Ciudad de México,Estados Unidos de América,2
12/10/2024,Ciudad de México,Federación De Rusia,4
12/10/2024,Ciudad de México,Guatemala,4
12/10/2024,Ciudad de México,Haití,1
12/10/2024,Ciudad de México,Pakistán,1
12/10/2024,Ciudad de México,Panamá,1
12/10/2024,Ciudad de México,República Bolivariana de Venezuela,1
12/10/2024,Ciudad de México,Rumania,3
12/10/2024,Ciudad de México,Vietnam,1
12/10/2024,Estado de México,Colombia,2
12/10/2024,Estado de México,España,3
12/10/2024,Jalisco,China,2
12/10/2024,Jalisco,India,1
12/10/2024,Jalisco,Japón,1
12/10/2024,Jalisco,Sudáfrica,1
12/10/2024,Nuevo Leon,China,1
12/10/2024,Nuevo Leon,Cuba,1
12/10/2024,Quintana Roo,Alemania,1
12/10/2024,Quintana Roo,Argentina,1
12/10/2024,Quintana Roo,Brasil,2
12/10/2024,Quintana Roo,China,5
12/10/2024,Quintana Roo,Colombia,67
12/10/2024,Quintana Roo,Costa Rica,1
12/10/2024,Quintana Roo,Cuba,3
12/10/2024,Quintana Roo,España,3
12/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,5
12/10/2024,Quintana Roo,Estados Unidos de América,3
12/10/2024,Quintana Roo,Federación De Rusia,7
12/10/2024,Quintana Roo,Guatemala,4
12/10/2024,Quintana Roo,Haití,2
12/10/2024,Quintana Roo,Nigeria,1
12/10/2024,Quintana Roo,Panamá,2
12/10/2024,Quintana Roo,Perú,2
12/10/2024,Quintana Roo,República Bolivariana de Venezuela,1
12/10/2024,Quintana Roo,Turquía,11
12/10/2024,Quintana Roo,Vietnam,1
12/10/2024,Tamaulipas,Estados Unidos de América,1
13/10/2024,Ciudad de México,Armenia,2
13/10/2024,Ciudad de México,Belarús,1
13/10/2024,Ciudad de México,Chile,1
13/10/2024,Ciudad de México,China,37
13/10/2024,Ciudad de México,Colombia,83
13/10/2024,Ciudad de México,Costa Rica,5
13/10/2024,Ciudad de México,Cuba,1
13/10/2024,Ciudad de México,El Salvador,1
13/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,2
13/10/2024,Ciudad de México,Estados Unidos de América,1
13/10/2024,Ciudad de México,Federación De Rusia,4
13/10/2024,Ciudad de México,Guatemala,1
13/10/2024,Ciudad de México,Haití,1
13/10/2024,Ciudad de México,India,1
13/10/2024,Ciudad de México,Jamaica,1
13/10/2024,Ciudad de México,Nicaragua,2
13/10/2024,Ciudad de México,Pakistán,1
13/10/2024,Ciudad de México,República Bolivariana de Venezuela,3
13/10/2024,Ciudad de México,Sri Lanka,3
13/10/2024,Estado de México,Colombia,8
13/10/2024,Jalisco,Colombia,4
13/10/2024,Nuevo Leon,Colombia,4
13/10/2024,Nuevo Leon,Cuba,2
13/10/2024,Quintana Roo,Argentina,1
13/10/2024,Quintana Roo,Armenia,1
13/10/2024,Quintana Roo,Azerbaiyán,5
13/10/2024,Quintana Roo,China,3
13/10/2024,Quintana Roo,Colombia,83
13/10/2024,Quintana Roo,Cuba,1
13/10/2024,Quintana Roo,España,2
13/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,5
13/10/2024,Quintana Roo,Estados Unidos de América,1
13/10/2024,Quintana Roo,Haití,1
13/10/2024,Quintana Roo,India,2
13/10/2024,Quintana Roo,Rumania,3
13/10/2024,Quintana Roo,Turquía,1
14/10/2024,Chiapas,Colombia,1
14/10/2024,Chiapas,Guatemala,1
14/10/2024,Ciudad de México,Argentina,2
14/10/2024,Ciudad de México,China,7
14/10/2024,Ciudad de México,Colombia,70
14/10/2024,Ciudad de México,Costa Rica,3
14/10/2024,Ciudad de México,Cuba,2
14/10/2024,Ciudad de México,Ecuador,5
14/10/2024,Ciudad de México,Federación De Rusia,2
14/10/2024,Ciudad de México,Haití,1
14/10/2024,Ciudad de México,India,1
14/10/2024,Ciudad de México,Nicaragua,2
14/10/2024,Ciudad de México,Panamá,1
14/10/2024,Ciudad de México,Perú,2
14/10/2024,Ciudad de México,República Bolivariana de Venezuela,2
14/10/2024,Ciudad de México,República Islámica del Irán,1
14/10/2024,Ciudad de México,Sudán,1
14/10/2024,Ciudad de México,Ucrania,1
14/10/2024,Ciudad de México,Uruguay,1
14/10/2024,Ciudad de México,Uzbekistán,1
14/10/2024,Estado de México,Colombia,11
14/10/2024,Estado de México,Estados Unidos de América,1
14/10/2024,Estado de México,Jamaica,7
14/10/2024,Jalisco,China,1
14/10/2024,Jalisco,Estados Unidos de América,1
