DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
28/12/2024,Chiapas,Cuba,1,0,1
29/12/2024,Ciudad de México,República Bolivariana de Venezuela,1,0,1
30/12/2024,Tabasco,Guatemala,12,4,8
30/12/2024,Tabasco,Honduras,21,0,21
30/12/2024,Tlaxcala,Colombia,2,2,0
31/12/2024,Chiapas,Ecuador,1,1,0
04/01/2025,Baja California,Estados Unidos de América,3,2,1
04/01/2025,Oaxaca,Colombia,2,2,0
05/01/2025,Ciudad de México,Colombia,1,0,1
05/01/2025,Puebla,Guatemala,1,0,1
06/01/2025,Chiapas,Guatemala,8,0,8
06/01/2025,Ciudad de México,Colombia,1,0,1
06/01/2025,Tabasco,Colombia,3,3,0
07/01/2025,Chiapas,Guatemala,8,0,8
07/01/2025,Chiapas,Honduras,14,0,14
07/01/2025,Ciudad de México,Guatemala,1,0,1
07/01/2025,Hidalgo,Honduras,1,0,1
07/01/2025,Tabasco,Guatemala,8,0,8
07/01/2025,Tabasco,Honduras,17,1,16
07/01/2025,Veracruz,Ecuador,1,0,1
08/01/2025,Baja California,Guatemala,7,0,7
08/01/2025,Baja California,Perú,2,0,2
08/01/2025,Ciudad de México,Cuba,1,0,1
08/01/2025,Nuevo León,Colombia,2,0,2
08/01/2025,Nuevo León,Cuba,4,0,4
08/01/2025,Nuevo León,Guatemala,2,0,2
08/01/2025,Nuevo León,Honduras,2,0,2
08/01/2025,Nuevo León,Nicaragua,2,0,2
08/01/2025,Nuevo León,República Bolivariana de Venezuela,5,0,5
08/01/2025,Oaxaca,Colombia,1,1,0
08/01/2025,Tamaulipas,Estados Unidos de América,1,1,0
09/01/2025,Baja California,Ecuador,1,0,1
09/01/2025,Baja California,Estados Unidos de América,4,4,0
09/01/2025,Baja California,Guatemala,3,0,3
09/01/2025,Chiapas,El Salvador,1,1,0
09/01/2025,Chiapas,Haití,1,0,1
09/01/2025,Chiapas,Honduras,24,0,24
09/01/2025,Ciudad de México,Honduras,16,0,16
09/01/2025,Nuevo León,Cuba,3,0,3
09/01/2025,Nuevo León,Ecuador,6,0,6
09/01/2025,Nuevo León,El Salvador,1,0,1
09/01/2025,Nuevo León,Guatemala,4,0,4
09/01/2025,Nuevo León,Honduras,4,0,4
09/01/2025,Nuevo León,Oman,1,0,1
09/01/2025,Nuevo León,República Bolivariana de Venezuela,5,0,5
09/01/2025,Sonora,Estados Unidos de América,1,1,0
09/01/2025,Tamaulipas,Estados Unidos de América,1,1,0
09/01/2025,Veracruz,Guatemala,22,0,22
09/01/2025,Veracruz,Honduras,2,0,2
10/01/2025,Baja California,Estados Unidos de América,6,5,1
10/01/2025,Chiapas,Guatemala,2,0,2
10/01/2025,Chiapas,Honduras,21,1,20
10/01/2025,Ciudad de México,Cuba,2,0,2
10/01/2025,Ciudad de México,Ecuador,1,0,1
10/01/2025,Ciudad de México,Guatemala,2,0,2
10/01/2025,Nuevo León,Guatemala,1,0,1
10/01/2025,Oaxaca,Colombia,2,2,0
10/01/2025,Tabasco,Colombia,5,5,0
